ID,name,loc,country,country_id,rank_raw,rank,scholarship,status,research_output,student_faculty_ratio,int_students,size,total_faculty,link,admission_raw,city,tuition_fee_raw,currency,exchange_rate,fee_min,fee_max,fee_avg,fee_min_usd,fee_max_usd,fee_avg_usd
3804,Politeknik Negeri Jakarta,"Politeknik Negeri Jakarta Depok, Indonesia",Indonesia,40,,,,,Low,11,,S,416,https://www.topuniversities.com/universities/politeknik-negeri-jakarta,,Politeknik Negeri Jakarta Depok,,,,,,,,,
3805,Al-Qalam University College,"State/Province kirkuk, Iraq",Iraq,42,,,,,,,,,,https://www.topuniversities.com/universities/al-qalam-university-college,"BSC:
- Year 12 scores: 55+",State/Province kirkuk,600-3999,USD,1,600,3999,2299.5,600,3999,2299.5
3806,Amity University - Chattisgarh,"Amity University Chhattisgarh Raipur, India",India,39,,,,,,,,,,https://www.topuniversities.com/universities/amity-university-chattisgarh,"BSC:
- Year 12 scores: 50+",Amity University Chhattisgarh Raipur,,,,,,,,,
3807,"National Institute of Technology Karnataka, Surathkal","NH 66, Srinivas Nagar, Surathkal, Mangaluru/Karnataka, IN Mangalore, India",India,39,,,,Public,Very High,20,376,M,330,https://www.topuniversities.com/universities/national-institute-technology-karnataka-surathkal,,IN Mangalore,,,,,,,,,
3808,Fergana Polytechnic Institute,"Fergana Polytechnic Institute Fergana, Uzbekistan",Uzbekistan,105,,,,,Low,12,50,M,,https://www.topuniversities.com/universities/fergana-polytechnic-institute,"BSC:
- Own admission test: 55+",Fergana Polytechnic Institute Fergana,700-1500,USD,1,700,1500,1100,700,1500,1100
3809,Polotsk State University,"Polotsk, BY, Polotsk, Belarus +2",Belarus,8,,,,,,,,,,https://www.topuniversities.com/universities/polotsk-state-university,,Polotsk,,,,,,,,,
3810,Frederick University,"Frederick University, Nicosia, Nicosia, Cyprus +1",Cyprus,21,,,,,,,,,,https://www.topuniversities.com/universities/frederick-university,,Nicosia,8875-9000,EUR,1.08,8875,9000,8937.5,9585,9720,9652.5
3811,CMKL University,"CMKL UNIVERSITY Bangkok, Thailand",Thailand,98,,,,,,,,,,https://www.topuniversities.com/universities/cmkl-university,,CMKL UNIVERSITY Bangkok,,,,,,,,,
3812,Al Hussein Technical University,"Al-Hussein Technical University Amman, Jordan",Jordan,48,,,,,,,,,,https://www.topuniversities.com/universities/al-hussein-technical-university,,Al-Hussein Technical University Amman,,,,,,,,,
3813,Sir Syed University of Engineering & Technology,"Main Campus Karachi, Pakistan",Pakistan,76,,,,,,,,,,https://www.topuniversities.com/universities/sir-syed-university-engineering-technology,"BSC:
- Own admission test: 50+",Main Campus Karachi,,,,,,,,,
3814,Zhytomyr Polytechnic State University,"Zhytomyr Polytechnic State University Zhytomyr, Ukraine",Ukraine,101,,,,,,,,,,https://www.topuniversities.com/universities/zhytomyr-polytechnic-state-university,,Zhytomyr Polytechnic State University Zhytomyr,,,,,,,,,
3815,"Amity University, Haryana","Amity University Haryana Gurugram, India",India,39,,,,,,,,,,https://www.topuniversities.com/universities/amity-university-haryana,"BSC:
- Own admission test: 50+",Amity University Haryana Gurugram,172283-432000,INR,0.012,172283,432000,302141.5,2067.396,5184,3625.698
3816,Amity University - Maharashtra,"Amity University Mumbai Mumbai, India",India,39,,,,Private,Medium,29,11,M,172,https://www.topuniversities.com/universities/amity-university-maharashtra,,Amity University Mumbai Mumbai,,,,,,,,,
3817,WU Executive Academy,"Campus WU, Vienna, Austria +1",Austria,4,,,,,,,,,,https://www.topuniversities.com/universities/wu-executive-academy,,Vienna,,,,,,,,,
3818,Amity University - Rajasthan,"Amity University Rajasthan Jaipur, India",India,39,,,,,,,,,,https://www.topuniversities.com/universities/amity-university-rajasthan,,Amity University Rajasthan Jaipur,,,,,,,,,
3819,The Pantheon Design & Technology Institute,"Campus Roma Rome, Italy",Italy,46,,,,,,,,,,https://www.topuniversities.com/universities/pantheon-design-technology-institute,,Campus Roma Rome,,,,,,,,,
3820,Indian Institute of Technology Mandi,"Indian Institute of Technology Mandi Mandi, India",India,39,,,,Public,High,13,13,S,,https://www.topuniversities.com/universities/indian-institute-technology-mandi,,Indian Institute of Technology Mandi Mandi,10000-600000,INR,0.012,10000,600000,305000,120,7200,3660
3821,Bursa Uludag University,"Gorukle, Nilüfer, Türkiye +4",Türkiye,99,,,,,,,,,,https://www.topuniversities.com/universities/bursa-uludag-university,,Nilüfer,,,,,,,,,
3822,University of Bisha,"University of Bisha Bisha City, Saudi Arabia",Saudi Arabia,84,,,,Private,Medium,13,760,L,"1,204",https://www.topuniversities.com/universities/university-bisha,,University of Bisha Bisha City,,,,,,,,,
3823,Hotel Management School Zuerich (HFZ),"Hotelfachschule Zürich Zürich,, Switzerland",Switzerland,95,,,,,,,,,,https://www.topuniversities.com/universities/hotel-management-school-zuerich-hfz,,"Hotelfachschule Zürich Zürich,",20000,CHF,1.11,20000,20000,20000,22200,22200,22200
3824,School of Accounting and Finance,"Senate House, Tyndall Avenue, Bristol, GB, Bristol, United Kingdom +1",United Kingdom,103,,,,,,,,,,https://www.topuniversities.com/universities/university-bristol/school-accounting-finance,,Bristol,,,,,,,,,
3825,University of East Sarajevo,"University of East Sarajevo East Sarajevo, Bosnia & Herzegovina",Bosnia & Herzegovina,10,,,,,,,,,,https://www.topuniversities.com/universities/university-east-sarajevo,,University of East Sarajevo East Sarajevo,410-3068,EUR,1.08,410,3068,1739,442.8,3313.44,1878.12
3826,Kut University College,"KUT University College Iraq, Iraq",Iraq,42,,,,,,,,,,https://www.topuniversities.com/universities/kut-university-college,,KUT University College Iraq,,,,,,,,,
3827,Amsterdam Tech,"Amsterdam Tech Amsterdam, Netherlands",Netherlands,68,,,,,,,,,,https://www.topuniversities.com/universities/amsterdam-tech,,Amsterdam Tech Amsterdam,,,,,,,,,
3828,Bangladesh Agricultural University,"Bangladesh Agricultural University Mymensingh, Bangladesh",Bangladesh,7,,,,,,,,,,https://www.topuniversities.com/universities/bangladesh-agricultural-university,,Bangladesh Agricultural University Mymensingh,,,,,,,,,
3829,Beijing Institute of Fashion Technology,"Main Campus Beijing, China (Mainland)",China (Mainland),16,,,,,,,,,,https://www.topuniversities.com/universities/beijing-institute-fashion-technology,,Main Campus Beijing,,,,,,,,,
3830,Poznan University of Economics,"Main Poznan, Poland",Poland,79,,,,,,,,,,https://www.topuniversities.com/universities/poznan-university-economics,,Main Poznan,,,,,,,,,
3831,China University of Petroleum (East China),"Main Dongying, China (Mainland)",China (Mainland),16,,,,,Very High,17,,L,"1,536",https://www.topuniversities.com/universities/china-university-petroleum-east-china,,Main Dongying,,,,,,,,,
3832,Medical University of Gdańsk,"Primary Gdańsk, Poland",Poland,79,,,,,,,,,,https://www.topuniversities.com/universities/medical-university-gdansk,,Primary Gdańsk,,,,,,,,,
3833,Universit degli Studi della Campania Luigi Vanvitelli,"Main Campus Caserta, Italy",Italy,46,,,,,,,,,,https://www.topuniversities.com/universities/universit-degli-studi-della-campania-luigi-vanvitelli,,Main Campus Caserta,,,,,,,,,
3834,The Gnesins Russian Academy of Music,"Gnesin Russian Academy of Music Moscow, Russia",Russia,83,,,,,,,,,,https://www.topuniversities.com/universities/gnesins-russian-academy-music,,Gnesin Russian Academy of Music Moscow,,,,,,,,,
3835,Van Yüzüncü Yıl University,"Central Zeve Campus, VAN, Türkiye +5",Türkiye,99,,,,,,,,,,https://www.topuniversities.com/universities/van-yuzuncu-yil-university,,VAN,344-3481,USD,1,344,3481,1912.5,344,3481,1912.5
3836,"Ecole Ferrieres - Hospitality, Gastronomy and Luxury","Campus Ferrières Ferrieres-en-Brie, France",France,31,,,,,,,,,,https://www.topuniversities.com/universities/ecole-ferrieres-hospitality-gastronomy-luxury,,Campus Ferrières Ferrieres-en-Brie,,,,,,,,,
3837,Van Lang University,"Campus HQ, Ho Chi Minh City, Vietnam +2",Vietnam,106,,,,Private,Medium,12,92,L,"2,059",https://www.topuniversities.com/universities/van-lang-university,,Ho Chi Minh City,,,,,,,,,
3838,Dhurakij Pundit University,"110/1-4 Prachachuen Road, Laksi District / Bangkok, TH Bangkok, Thailand",Thailand,98,,,,Private,Medium,35,2653,L,439,https://www.topuniversities.com/universities/dhurakij-pundit-university,,TH Bangkok,,,,,,,,,
3839,City University Ajman (CUA),"Main Campus Ajman,, United Arab Emirates",United Arab Emirates,102,,,,,,,,,,https://www.topuniversities.com/universities/city-university-ajman-cua,,"Main Campus Ajman,",,,,,,,,,
3840,MINES Saint-Etienne,"Espace Fauriel, Saint-Etienne, France +5",France,31,,,,,,,,,,https://www.topuniversities.com/universities/mines-saint-etienne,,Saint-Etienne,,,,,,,,,
3841,"École Nationale Vétérinaire, Alfort","Test Campus, Banglore, India +3",India,39,,,,,,,,,,https://www.topuniversities.com/universities/qs-university/ecole-nationale-veterinaire-alfort,,Banglore,,,,,,,,,
3842,Khachatur Abovyan Armenian State Pedagogical University,"Khachatur Abovyan Armenian State Pedagogical University Yerevan, Armenia",Armenia,2,,,,,,,,,,https://www.topuniversities.com/universities/khachatur-abovyan-armenian-state-pedagogical-university,,Khachatur Abovyan Armenian State Pedagogical University Yerevan,,,,,,,,,
3843,"Universitas Pembangunan Nasional ""Veteran"" Jawa Timur","Universitas Pembangunan Nasional ""Veteran"" Jawa Timur Surabaya, Indonesia",Indonesia,40,,,,,,,,,,https://www.topuniversities.com/universities/universitas-pembangunan-nasional-veteran-jawa-timur,"BSC:
- Own admission test: 590+
- Year 12 scores: 590+
- Bachelor GPA: 3+","Universitas Pembangunan Nasional ""Veteran"" Jawa Timur Surabaya",1294,USD,1,1294,1294,1294,1294,1294,1294
3844,Instituto Politécnico de Bragança,"Bragança Bragança, Portugal",Portugal,80,,,,,,,,,,https://www.topuniversities.com/universities/instituto-politecnico-de-braganca,,Bragança Bragança,1316-1316,EUR,1.08,1316,1316,1316,1421.28,1421.28,1421.28
3845,University Targu Mures Medical Campus Hamburg (UMCH),"Main campus Hamburg, Germany",Germany,34,,,,,,,,,,https://www.topuniversities.com/universities/university-targu-mures-medical-campus-hamburg-umch,,Main campus Hamburg,,,,,,,,,
3846,"School of Architecture, Southeast University","Si Pai Lou Campus, Nanjing, China (Mainland) +2",China (Mainland),16,,,,,,,,,,https://www.topuniversities.com/universities/southeast-university/school-architecture-southeast-university,,Nanjing,,,,,,,,,
3847,"Penn State College of Engineering, School of Engineering Design and Innovation","University Park Campus, University Park, United States +20",United States,104,,,,,,,,,,https://www.topuniversities.com/universities/pennsylvania-state-university/penn-state-college-engineering-school-engineering-design-innovation,,University Park,,,,,,,,,
